1. Participated,3. Frequency,5. Cost importance,6. Appeals importance,7. Accessibility importance,8. Amenities importance,9. Activities importance,10. Pay extra for atmosphere,11. Pay extra for location,12. Pay extra for amenities,13. Pay extra for activities,14. Activities over everything else,15. Amenities over everything else,16. Everything must be perfect,18. Attitude towards paying,19. decide on friends’ or social media recom,20. Your recommendation,21. Gender,22. Age,23. Timestamp,4. Motivation_Adventure and excitement,4. Motivation_Other (please only choose if fits best),4. Motivation_Relaxation and escaping routine,4. Motivation_Socializing and meeting new people,min_total_price,max_total_price,min_surfing_price,max_surfing_price,min_horse_price,max_horse_price,17. Single important factor_Broad choice of activities,17. Single important factor_Convenient or appealing location,17. Single important factor_High-quality amenities,17. Single important factor_Lowest price,17. Single important factor_Others,17. Single important factor_Outstanding visual and Appealing atmosphere,2. Events_Hiking,"2. Events_Hiking, Skiing",2. Events_Horseback Riding,"2. Events_Horseback Riding, Hiking","2. Events_Horseback Riding, Hiking, Skiing",2. Events_None of the above,2. Events_Skiing,2. Events_Surfing,"2. Events_Surfing, Hiking","2. Events_Surfing, Skiing",Needs_Cluster
0,0,7,7,7,7,4,5,6,5,5,5,5,5,4,5,5,1,34,12/28/2024 16:51,0,0,1,0,20.0,75.0,75.0,75.0,20.0,60.0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
0,0,7,7,4,6,6,5,2,6,5,4,5,6,1,3,7,0,30,12/28/2024 17:24,0,0,1,0,20.0,175.0,75.0,175.0,20.0,40.0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1
1,0,6,6,6,7,7,5,6,7,6,4,4,7,4,4,5,0,28,12/28/2024 17:59,0,0,0,1,20.0,75.0,75.0,75.0,20.0,30.0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1,1,4,3,7,5,6,4,6,4,6,2,2,3,3,4,7,1,24,12/28/2024 18:20,0,0,0,1,20.0,20.0,0.0,0.0,20.0,20.0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1,3,1,6,5,4,4,4,5,6,5,5,6,4,4,4,6,0,29,12/29/2024 13:27,0,0,1,0,20.0,100.0,75.0,100.0,20.0,30.0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1,1,3,3,7,3,5,4,4,5,6,6,2,6,3,7,7,1,30,12/29/2024 14:19,0,0,1,0,20.0,125.0,75.0,125.0,20.0,40.0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
1,1,5,6,7,3,2,4,4,2,2,5,1,2,4,6,7,0,32,12/29/2024 18:30,0,0,1,0,20.0,75.0,75.0,75.0,20.0,40.0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1
0,0,5,7,4,7,3,4,4,1,1,7,4,4,1,7,7,0,22,12/29/2024 23:50,0,0,1,0,20.0,20.0,0.0,0.0,20.0,20.0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1
0,0,6,7,7,4,3,7,7,4,4,7,3,7,3,6,5,0,43,12/30/2024 11:24,0,0,1,0,20.0,75.0,75.0,75.0,20.0,20.0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
1,3,4,4,4,4,4,4,4,4,4,5,5,4,2,5,4,1,32,12/30/2024 19:35,0,1,0,0,20.0,75.0,75.0,75.0,20.0,50.0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
1,2,7,4,4,6,5,2,2,2,3,6,2,2,1,7,7,1,24,12/30/2024 19:52,1,0,0,0,20.0,75.0,75.0,75.0,20.0,40.0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1
